rank	paper_id	star	repo_name
274	ICSE-2018-0	12	justinwm/CapGen
275	ICSE-2018-26	12	icse18-fast/FAST
276	ICSE-2018-122	12	verivital/slsf_randgen
277	ICSE-2020-50	12	SerVal-DTF/APR-Efficiency
278	ICSE-2020-77	12	pxzhang94/ADF
279	ICSE-2021-64	12	s3team/Abacus
280	FSE-2017-77	12	marko-vasic/ekstaziSharp
281	ICSE-2022-24	12	hub-se/BeDivFuzz
282	ICSE-2022-38	12	GIST-NJU/RestCT
283	ICSE-2022-49	12	DeepDiagnosis/ICSE2022
284	ICSE-2022-50	12	ArabelaTso/DeepFD
285	ASE-2021-74	12	Feri73/deep-gui
286	ISSTA-2021-35	12	ucd-plse/PyDFix
287	FSE-2018-30	12	FoelliX/ReproDroid
288	FSE-2019-9	12	jku-ssw/gcc-builtin-study
289	FSE-2019-25	12	SoftLegend/AC3R-Demo
290	FSE-2020-72	12	testingautomated-usi/DeepJanus
291	FSE-2021-56	12	Jacob-yen/GRIST
292	FSE-2021-84	12	sumonbis/FairPreprocessing
293	FSE-2022-19	12	jodavimehran/code-tracker
294	ASE-2022-29	12	malusamayo/leakage-analysis
295	ASE-2022-53	12	quentinLeDilavrec/HyperAST
296	ASE-2022-56	12	EngineeringSoftware/inlinetest
297	ICSE-2017-63	11	Bocete/adsl
298	ICSE-2019-106	11	nandor/mkcheck
299	ICSE-2021-131	11	PYART0/PyART
300	ICSE-2022-35	11	wssun/TranCS
301	ICSE-2022-98	11	zysszy/CAT
302	ICSE-2022-126	11	kupl/npex
303	ICSE-2022-128	11	Xuhpclab/jxperf
304	ICSE-2022-156	11	RoPGen/RoPGen
305	ASE-2018-31	11	sola-da/StaticBugCheckers
306	ISSTA-2018-20	11	blaeser/parallelchecker
307	ISSTA-2019-19	11	mkechagia/Catcher
308	ISSTA-2022-39	11	AIasd/FusED
309	ISSTA-2022-44	11	dafny-lang/xdsmith
310	FSE-2017-4	11	rutgers-apl/TaskProf
311	FSE-2020-21	11	Alan-Cha/graphql-complexity-paper-artifact
312	FSE-2021-113	11	MHunt-er/Benchmarking-Malware-Family-Classification
313	FSE-2021-40	11	joymallyac/Fair-SMOTE
314	FSE-2021-59	11	yilinglou/Grace
315	FSE-2021-72	11	kusumotolab/NIL
316	ICSE-2018-13	10	shuiblue/INFOX
317	ICSE-2018-128	10	ai-se/Smote_tune
318	ICSE-2019-25	10	AishwaryaSivaraman/ALICE-ILP-for-Code-Search
319	ICSE-2019-94	10	DeepPerf/DeepPerf
320	ICSE-2020-0	10	icse20/RT-CI
321	ICSE-2020-17	10	DynamicCodeSearch/SLACC
322	ICSE-2020-91	10	ARiSE-Lab/DeepInspect
323	ICSE-2021-30	10	self-checker/SelfChecker
324	ICSE-2022-27	10	wangdeze18/DACL
325	ICSE-2022-34	10	Moshiii/CLEAR-replication
326	ICSE-2022-40	10	nju-websoft/PyCRE
327	ICSE-2022-191	10	baolingfeng/V-SZZ
328	ASE-2018-10	10	metaborg/spoofax-pie
329	ASE-2018-12	10	sakshiudeshi/Aequitas
330	ASE-2019-14	10	ReMine-Lab/RRGen
331	ASE-2020-34	10	20200501/OwlEye
332	ISSTA-2017-26	10	wangbo15/accmut
333	ISSTA-2019-29	10	thomasdeanwhite/GUIdance
334	ISSTA-2022-58	10	DependableSystemsLab/eTainter
335	FSE-2017-41	10	too4words/Call-Graph-Builder-DotNet
336	FSE-2018-13	10	silverbullettt/scaler
337	FSE-2020-66	10	Practical-Formal-Methods/DeepSearch
338	FSE-2021-23	10	beyondacm/TDClearner
339	FSE-2021-50	10	Troublor/darcher
340	FSE-2022-27	10	HaoxianChen/declarative-smart-contracts
341	ASE-2022-59	10	SpringJasmine/Jasmine
342	ASE-2022-70	10	ShenQingchao/QAQA
343	ASE-2022-106	10	DehengYang/TransplantFix
344	ICSE-2017-41	9	rohanpadhye/travioli
345	ICSE-2019-16	9	LASER-UMASS/Swami
346	ICSE-2019-85	9	hyperloop-rails/panorama-static-analyzer
347	ICSE-2020-19	9	parasol-aser/XRust
348	ICSE-2021-23	9	gbftdlie/Graph-based-fuzz-testing
349	ICSE-2022-67	9	lin-tan/eagle
350	ICSE-2022-77	9	Antimony5292/FairNeuron
351	ASE-2017-24	9	sch8906/intAbs
352	ASE-2017-48	9	atlanmod/Mogwai
353	ASE-2019-0	9	code2vec-critique/generalizability
354	ASE-2019-26	9	JunjieChen/HiCOND
355	ASE-2021-57	9	wjy99-c/QDiff
356	ISSTA-2017-3	9	wyaneva/ParTeCL-CodeGen
357	ISSTA-2019-23	9	Practical-Formal-Methods/adiff
358	ISSTA-2020-38	9	monkbai/DecFuzzer
359	ISSTA-2021-9	9	LingfengZhang98/EIDIG
360	ISSTA-2022-54	9	2022CIRCLE/CIRCLE
361	FSE-2018-45	9	saltlab/vista
362	FSE-2018-51	9	uiuc-arc/probfuzz
363	FSE-2019-31	9	justinwm/InduceBenchmark
364	FSE-2019-46	9	Lizenan1995/DNNOpAcc
365	FSE-2021-43	9	fio1982/GRec
366	FSE-2021-48	9	FSEwork/SCWarn
367	FSE-2021-76	9	Amocy-Wang/ProbDD
368	FSE-2022-10	9	Intelligent-CAT-Lab/SEER
369	FSE-2022-78	9	kupl/PyTER
370	ICSE-2020-15	8	NDStudyICSE2019/NDStudy
371	ICSE-2020-28	8	deepbillboard/DeepBillboard
372	ICSE-2020-79	8	zysszy/TransRepair
373	ICSE-2021-18	8	swa112003/DistributionAwareDNNTesting
374	ICSE-2021-107	8	gabrielcsf/malicious-updates-icse2021
375	ICSE-2021-126	8	AlshammariA/FlakeFlagger
376	ICSE-2022-87	8	sidongfeng/gifdroid
377	ICSE-2022-160	8	less-lab-uva/perception_fuzzing
378	ASE-2017-66	8	qixin5/ssFix
379	ASE-2019-28	8	umairzahmed/tegcer
380	ASE-2020-8	8	haoyang9804/RecBi
381	ASE-2020-73	8	anyone546/OCoR
382	ASE-2021-10	8	imcsq/ASE21-QAAskeR
383	ASE-2021-47	8	Marsman1996/instruguard
384	ISSTA-2017-20	8	qixin5/DiffTGen
385	ISSTA-2022-16	8	CUHK-ARISE/AEON
386	ISSTA-2022-24	8	tcse-iscas/Grand
387	FSE-2017-7	8	WeiFoo/EasyOverHard
388	FSE-2018-3	8	midwinter1993/Schnauzer
389	FSE-2019-69	8	MCFuzzer/MCFuzz
390	FSE-2020-12	8	kupl/HOMI_public
391	FSE-2020-54	8	joymallyac/Fairway
392	FSE-2021-14	8	fmehralian/COALA
393	FSE-2022-21	8	sola-st/PythonTypeAnnotationStudy
394	ICSE-2020-27	7	shafiul/slemi
395	ICSE-2020-40	7	heterorefactor/heterorefactor
396	ICSE-2020-46	7	COLA-Laboratory/icse2020
397	ICSE-2021-22	7	dlshriver/DNNF
398	ICSE-2021-32	7	sail-repos/PRIMA
399	ICSE-2021-74	7	GIST-NJU/KEFE
400	ICSE-2021-96	7	BOCA313/BOCA
401	ICSE-2022-15	7	YintongHuo/ARCLIN
402	ICSE-2022-89	7	ForAllSecure/GraphFuzz
403	ICSE-2022-105	7	system-pclub/rust-programming-challenges
404	ASE-2017-68	7	yangyixiaof/CodeCompletionPlugin
405	ASE-2019-16	7	havrikov/covering-input-structure
406	ASE-2019-43	7	xgdsmileboy/StateCoverLocator
407	ASE-2020-24	7	ARiSE-Lab/Patch-as-translation
408	ASE-2020-35	7	actionabletest/MCP
409	ASE-2020-42	7	dgl-prc/rnn2automata
410	ASE-2021-71	7	MattePalte/thinking-like-a-developer
411	ISSTA-2020-11	7	datalossdetector/DLD
412	ISSTA-2021-6	7	dlfaults/deepcrime
413	ISSTA-2021-7	7	testingautomated-usi/DeepHyperion
414	ISSTA-2021-27	7	Artisan-Lab/SMTimer
415	ISSTA-2021-32	7	predoodl/predoo
416	ISSTA-2022-48	7	iFixDataLoss/iFixDataloss22
417	ISSTA-2022-52	7	ali-ghanbari/shibboleth
418	FSE-2019-64	7	mryancai/ConVul
419	FSE-2019-68	7	ZhouyangJia/SafeExit
420	FSE-2021-31	7	githubhuyang/achyb
421	FSE-2021-32	7	kupl/LearnML
422	FSE-2021-35	7	AndroidFlakyTest/FlakeScanner
423	FSE-2021-44	7	hehao98/LibraryMigration
424	FSE-2021-87	7	castor-software/longitudinal-bloat
425	FSE-2021-93	7	GLIB-game/GLIB
426	FSE-2022-14	7	brains-on-code/NoviceVsExpert
427	FSE-2022-62	7	G2SMM/G2SC
428	FSE-2022-94	7	chenzhenpeng18/FSE22-MAAT
429	ASE-2022-13	7	ase-decom/ASE22_DECOM
430	ASE-2022-58	7	Trustworthy-Software/Quatrain
431	ICSE-2018-23	6	stan6/droixbench
432	ICSE-2020-23	6	gmu-swe/rivulet
433	ICSE-2021-42	6	brains-on-code/fMRI-complexity-metrics-icse2021
434	ICSE-2022-10	6	SATE-Lab/ATS
435	ICSE-2022-11	6	SunflowerPKU/ICSE22_SC_Data
436	ICSE-2022-73	6	waving7799/ExpGA
437	ICSE-2022-80	6	toledosakasa/SMARTFL
438	ICSE-2022-125	6	haibinzheng/NeuronFair
439	ICSE-2022-144	6	promal-android/Promal
440	ICSE-2022-180	6	fairnesstest/LTDD
441	ICSE-2022-185	6	antonio-mastropaolo/LANCE
442	ASE-2018-37	6	liuhuigmail/FeatureEnvy
443	ASE-2018-61	6	ChunghaSung/EC-Diff
444	ASE-2020-13	6	Osiris-Jupyter/Osiris
445	ASE-2020-28	6	seal-hub/ERCatcher
446	ASE-2020-64	6	lin-tan/dl-variance
447	ASE-2020-68	6	SCDetector/SCDetector
448	ASE-2020-91	6	hub-se/MoFuzz
